lat,long,age
38.87,-122.88,17.834578
38.87,-122.86,17.834578
38.86,-122.83,17.725136
41.84,-121.33,8.7181835
42.21,-122.71,8.7200031
42.21,-122.71,8.7200031
45.25,-121.12,9.5008411
38.75,-122.68,17.580811
39,-122.65,17.725136
45.86,-120.67,9.5405912
46.78,-122.26,9.7773581
40.6,-119.45,16.676729
40.6,-119.45,16.676729
39.79,-119.01,16.215477
40.64,-119.41,16.676729
39.79,-119.02,16.215477
40.66,-119.35,16.676729
39.79,-119.02,16.215477
39.79,-119.02,16.215477
39.79,-119.01,16.215477
39.79,-119.01,16.215477
40.37,-119.4,16.524179
39.79,-119.01,16.215477
46.89,-120.39,9.7773581
46.61,-119.12,9.7773581
43.16,-124.22,9.2272873
43.15,-124.22,8.97577
46.36,-119.27,9.543684
46.43,-119.28,9.543684
46.44,-119.4,9.543684
42.15,-121.68,8.7200031
44.78,-121.98,9.8749847
47.07,-122.22,9.7773581
43.47,-119.86,9.5357075
43.52,-119.72,9.5357075
43.22,-119.25,9.2272873
43.44,-119.02,9.5350513
43.19,-119.89,9.2272873
43.71,-119.93,9.5827484
43.66,-119.94,9.5827484
43.62,-120.47,9.5827484
42.06,-121.62,8.7200031
38.8,-122.71,17.725136
44.45,-122.8,9.8749847
40.91,-119.09,16.676729
45.18,-121.07,9.5008411
48.68,-126.87,5.5437579
48.69,-126.87,5.5437579
48.69,-126.87,5.5437579
48.69,-126.87,5.5437579
48.69,-126.88,5.5437579
48.69,-126.86,5.5437579
48.69,-126.87,5.5437579
48.69,-126.88,5.5437579
44.14,-122.02,9.8749847
44.14,-122.02,9.8749847
43.66,-119.08,9.5827484
43.66,-119.08,9.5827484
43.66,-119.08,9.5827484
43.72,-119.09,9.8749847
43.72,-119.09,9.8749847
44.22,-122.05,9.8749847
44.22,-122.05,9.8749847
44.2,-122.03,9.8749847
44.16,-122.09,9.8749847
44.16,-122.09,9.8749847
45.84,-119.67,9.544672
38.91,-122.77,17.725136
38.81,-122.68,17.580811
39,-122.67,17.725136
45.73,-122.44,9.5560369
38.75,-122.65,17.580811
41.19,-120.95,18.00329
41.21,-119.06,16.815744
40.88,-119.1,16.676729
40.87,-119.17,16.676729
41.12,-120.95,18.00329
41.09,-121,18.00329
41.09,-121,18.00329
