lat	long	q	age	q(t)	sqrt age	d(t)	q(t)
53.53	-132.22	59	9.16572	1.4101	3.027494013	4104.001	3.732459899
53.53	-132.22	107	9.16572	2.5573	3.027494013	4104.001	3.732459899
53.53	-132.22	69	9.16572	1.6491	3.027494013	4104.001	3.732459899
53.53	-132.22	76	9.16572	1.8164	3.027494013	4104.001	3.732459899
53.53	-132.22	49	9.16572	1.1711	3.027494013	4104.001	3.732459899
53.53	-132.22	66	9.16572	1.5774	3.027494013	4104.001	3.732459899
52.14	-128.05	91	1.3816251	2.1749	1.175425497	2741.784393	9.613539969
52.15	-128.1	74	1.3816251	1.7686	1.175425497	2741.784393	9.613539969
54.74	-126.62	68	1.238132	1.6252	1.1127138	2716.6731	10.15535172
54.74	-126.62	69	1.238132	1.6491	1.1127138	2716.6731	10.15535172
54.74	-126.62	75	1.238132	1.7925	1.1127138	2716.6731	10.15535172
54.74	-126.62	91	1.238132	2.1749	1.1127138	2716.6731	10.15535172
54.74	-126.62	74	1.238132	1.7686	1.1127138	2716.6731	10.15535172
54.2	-126.26	60	4.2815824	1.434	2.069198492	3249.27692	5.461051727
54.18	-126.27	66	4.2815824	1.5774	2.069198492	3249.27692	5.461051727
54.17	-126.28	119	4.2815824	2.8441	2.069198492	3249.27692	5.461051727
52.3	-120.57	46	8.9942894	1.0994	2.999048082	4074.000645	3.767862232
52.3	-120.57	61	8.9942894	1.4579	2.999048082	4074.000645	3.767862232
54.23	-126.23	83	4.2815824	1.9837	2.069198492	3249.27692	5.461051727
54.23	-126.24	79	4.2815824	1.8881	2.069198492	3249.27692	5.461051727
52.72	-131.72	60	5.7069907	1.434	2.38893087	3498.723373	4.730149434
52.72	-131.71	48	5.7069907	1.1472	2.38893087	3498.723373	4.730149434
48.89	-123.87	20	8.9942894	0.478	2.999048082	4074.000645	3.767862232
48.89	-123.87	19	8.9942894	0.4541	2.999048082	4074.000645	3.767862232
48.89	-123.85	25	8.9942894	0.5975	2.999048082	4074.000645	3.767862232
48.88	-123.82	29	8.9942894	0.6931	2.999048082	4074.000645	3.767862232
52.92	-123.62	74	7.2214351	1.7686	2.6872728	3763.751143	4.205006653
52.92	-123.63	71	7.2214351	1.6969	2.6872728	3763.751143	4.205006653
52.9	-123.62	56	7.2214351	1.3384	2.6872728	3763.751143	4.205006653
49.05	-123.91	30	8.9942894	0.717	2.999048082	4074.000645	3.767862232
49.05	-124	20	8.9942894	0.478	2.999048082	4074.000645	3.767862232
49.59	-119.68	61	9.2849312	1.4579	3.047118508	4124.86296	3.70842157
51.73	-124.62	67	7.2214351	1.6013	2.6872728	3763.751143	4.205006653
51.73	-124.63	91.1	7.2214351	2.17729	2.6872728	3763.751143	4.205006653
51.45	-123.62	101.2	7.2806315	2.41868	2.698264535	3774.110513	4.187877005
51.45	-123.62	107.7	7.2806315	2.57403	2.698264535	3774.110513	4.187877005
50.62	-127.5	67.9	4.6360407	1.62281	2.153146697	3311.307123	5.24813289
49.77	-125.3	39.4	7.2806315	0.94166	2.698264535	3774.110513	4.187877005
54.02	-130.58	72.2	5.7069907	1.72558	2.38893087	3498.723373	4.730149434
54.02	-130.58	132.8	5.7069907	3.17392	2.38893087	3498.723373	4.730149434
54.02	-130.58	112.4	5.7069907	2.68636	2.38893087	3498.723373	4.730149434
54.02	-130.58	78.1	5.7069907	1.86659	2.38893087	3498.723373	4.730149434
54.02	-130.58	62.4	5.7069907	1.49136	2.38893087	3498.723373	4.730149434
49.15	-124.65	47.9	8.1750021	1.14481	2.859196058	3930.625368	3.952159897
49.15	-124.67	54.4	7.9011574	1.30016	2.810899749	3882.702545	4.020065107
49.15	-124.67	48.3	7.9011574	1.15437	2.810899749	3882.702545	4.020065107
49.33	-121.97	143.4	9.2849312	3.42726	3.047118508	4124.86296	3.70842157
49.33	-121.97	86.7	9.2849312	2.07213	3.047118508	4124.86296	3.70842157
49.33	-121.97	132.4	9.2849312	3.16436	3.047118508	4124.86296	3.70842157
49.33	-121.97	99.7	9.2849312	2.38283	3.047118508	4124.86296	3.70842157
49.33	-121.97	38.8	9.2849312	0.92732	3.047118508	4124.86296	3.70842157
49.33	-121.97	103.3	9.2849312	2.46887	3.047118508	4124.86296	3.70842157
49.33	-121.95	95.5	9.2849312	2.28245	3.047118508	4124.86296	3.70842157
49.33	-121.97	90.6	9.2849312	2.16534	3.047118508	4124.86296	3.70842157
49.3	-121.93	105.1	9.2849312	2.51189	3.047118508	4124.86296	3.70842157
49.75	-124.53	41.5	7.3612161	0.99185	2.713156114	3788.212818	4.164891191
49.7	-124.52	18.1	7.3612161	0.43259	2.713156114	3788.212818	4.164891191
49.75	-124.53	36.2	7.3612161	0.86518	2.713156114	3788.212818	4.164891191
49.75	-124.53	33.2	7.3612161	0.79348	2.713156114	3788.212818	4.164891191
49.75	-124.53	32.8	7.3612161	0.78392	2.713156114	3788.212818	4.164891191
49.75	-124.53	34.7	7.3612161	0.82933	2.713156114	3788.212818	4.164891191
49.75	-124.53	32.6	7.3612161	0.77914	2.713156114	3788.212818	4.164891191
49.75	-124.53	20.7	7.3612161	0.49473	2.713156114	3788.212818	4.164891191
49.7	-124.53	26.8	7.3612161	0.64052	2.713156114	3788.212818	4.164891191
49.7	-124.53	22.5	7.3612161	0.53775	2.713156114	3788.212818	4.164891191
49.7	-124.53	8	7.3612161	0.1912	2.713156114	3788.212818	4.164891191
