lat,lon,age,ihfc q,ps q
44.49,-122.86,9.8749847,1.2906,3.59592171
45.01,-122.66,9.831625,0.956,3.603842403
45.01,-122.66,9.831625,0.956,3.603842403
44.81,-120.73,9.8749847,1.4579,3.59592171
44.43,-122.72,9.8749847,1.2667,3.59592171
44.4,-122.65,9.8749847,1.195,3.59592171
44.33,-122.99,9.8749847,0.9321,3.59592171
45.01,-123.51,9.831625,0.717,3.603842403
43.8,-123.88,9.5827484,0.5975,3.6503407
44.58,-122.84,9.8749847,0.717,3.59592171
44.98,-122.65,9.831625,0.9799,3.603842403
44.19,-123.83,9.8100004,0.6931,3.607812267
44.71,-123.03,9.8749847,0.9799,3.59592171
44.71,-123.03,9.8749847,0.9799,3.59592171
43.67,-122.45,9.5827484,1.2667,3.6503407
43.96,-122.84,9.5827484,1.0755,3.6503407
45.03,-121.96,9.831625,5.7121,3.603842403
44.78,-121.95,9.8749847,2.7246,3.59592171
44.78,-121.95,9.8749847,3.2265,3.59592171
44.78,-122.04,9.8749847,2.1271,3.59592171
44.83,-121.88,9.8749847,1.195,3.59592171
45.02,-122.01,9.831625,6.6681,3.603842403
45,-122.06,9.831625,2.5334,3.603842403
44.2,-122.05,9.8749847,3.6567,3.59592171
44.15,-122.08,9.8749847,2.6529,3.59592171
44.72,-121.91,9.8749847,2.4139,3.59592171
43.95,-122.03,9.5827484,0.9799,3.6503407
43.72,-122.33,9.5827484,2.3661,3.6503407
43.64,-122.19,9.5827484,2.4378,3.6503407
44.07,-122.02,9.8749847,3.3221,3.59592171
44.63,-121.94,9.8749847,2.5095,3.59592171
44.02,-122.16,9.8749847,2.1988,3.59592171
44.02,-122.16,9.8749847,2.1988,3.59592171
44.45,-122.83,9.8749847,0.7409,3.59592171
44.62,-122.72,9.8749847,0.8365,3.59592171
44.62,-122.72,9.8749847,0.8365,3.59592171
44.61,-121.11,9.8749847,1.6491,3.59592171
44.16,-122.24,9.8749847,1.6491,3.59592171
44.47,-122.91,9.8749847,0.9321,3.59592171
45.05,-122.62,9.831625,1.0516,3.603842403
45.05,-122.62,9.831625,1.0755,3.603842403
44.44,-122.99,9.8749847,0.8843,3.59592171
44.3,-122.12,9.8749847,2.629,3.59592171
46.85,-122.26,9.7773581,0.478,3.613829699
46.31,-119.76,9.5389538,1.2667,3.658710703
46.31,-119.76,9.5389538,2.3422,3.658710703
46.63,-123.23,9.7773581,0.9799,3.613829699
46.52,-122.46,9.6252508,0.8126,3.642272344
46.89,-120.39,9.7773581,1.0755,3.613829699
46.61,-119.12,9.7773581,1.8164,3.613829699
46.37,-119.29,9.543684,1.2906,3.657803894
46.36,-119.27,9.543684,1.5057,3.657803894
46.36,-119.27,9.543684,1.5774,3.657803894
46.43,-119.28,9.543684,1.4101,3.657803894
46.44,-119.4,9.543684,1.5535,3.657803894
45.86,-120.67,9.5405912,1.1472,3.658396727
47.07,-122.22,9.7773581,0.4063,3.613829699
46.55,-122.31,9.6252508,0.6214,3.642272344
46.78,-122.26,9.7773581,0.7887,3.613829699
45.71,-121.46,9.5560369,1.3384,3.655438945
45.71,-121.31,9.5560369,1.2667,3.655438945
46.6,-120.35,9.7773581,1.8164,3.613829699
46.52,-120.01,9.6252508,1.2428,3.642272344
46.42,-120.12,9.543684,1.6491,3.657803894
46.42,-120.12,9.543684,1.8642,3.657803894
46.48,-120.26,9.6252508,1.2189,3.642272344
48.43,-119.52,9.7773581,1.2667,3.613829699
46.78,-120.67,9.7773581,1.3862,3.613829699
46.55,-120.67,9.6252508,1.195,3.642272344
46.55,-120.67,9.6252508,2.2466,3.642272344
46.53,-120.2,9.6252508,1.5535,3.642272344
46.27,-119.45,9.5389538,7.0027,3.658710703
45.73,-121.8,9.5560369,6.3335,3.655438945
46.53,-120.33,9.6252508,1.5774,3.642272344
46.14,-119.63,9.5399418,1.3145,3.658521241
46.25,-119.4,9.546627,1.6252,3.657240044
45.82,-121.13,9.544672,1.2189,3.657614574
45.96,-119.88,9.5455904,1.8403,3.657438617
47.71,-121.14,9.7773581,2.3661,3.613829699
47.71,-121.14,9.7773581,2.7246,3.613829699
47.43,-121.41,9.7773581,1.0277,3.613829699
46.65,-121.28,9.7773581,2.5573,3.613829699
45.81,-121.95,9.544672,2.1749,3.657614574
46.67,-121.03,9.7773581,2.0793,3.613829699
46.75,-120.64,9.7773581,1.0994,3.613829699
47.01,-121.7,9.7773581,1.0994,3.613829699
46.04,-119.64,9.5455904,0.9082,3.657438617
46.04,-119.64,9.5455904,1.2189,3.657438617
45.92,-120.19,9.5405912,1.0277,3.658396727
45.92,-120.19,9.5405912,1.8642,3.658396727
45.88,-122.45,9.5405912,0.9799,3.658396727
45.84,-122.53,9.544672,0.956,3.657614574
45.94,-122.71,9.5405912,0.8843,3.658396727
47,-119.53,9.7773581,1.8881,3.613829699
45.99,-120.38,9.5455904,1.4101,3.657438617
45.99,-120.38,9.5455904,1.5535,3.657438617
45.99,-120.38,9.5455904,2.4856,3.657438617
47.45,-120.36,9.7773581,1.0994,3.613829699
46.46,-120.23,9.6252508,1.2428,3.642272344
46.6,-120.38,9.7773581,0.9799,3.613829699
45.83,-120.82,9.544672,1.3145,3.657614574
45.83,-120.82,9.544672,1.6969,3.657614574
45.76,-120.53,9.544672,1.2428,3.657614574
46.54,-122.48,9.6252508,0.7409,3.642272344
45.9,-122.66,9.5405912,0.9799,3.658396727
45.61,-122.13,9.5370016,1.3384,3.659085148
45.61,-122.13,9.5370016,1.7208,3.659085148
45.88,-120.93,9.5405912,0.9321,3.658396727
45.89,-122.5,9.5405912,1.2189,3.658396727
45.7,-121.41,9.5560369,1.3862,3.655438945
45.74,-121.18,9.5560369,1.2667,3.655438945
45.7,-120.92,9.5560369,1.0516,3.655438945
45.61,-122.18,9.5370016,0.8843,3.659085148
45.61,-122.18,9.5370016,0.9082,3.659085148
46.33,-120.78,9.5389538,1.7447,3.658710703
46.53,-122.55,9.6252508,0.9082,3.642272344
45.7,-121.24,9.5560369,0.9799,3.655438945
47.11,-120.68,9.7773581,0.8365,3.613829699
