lat,lon,q,age
44.24,-120.97,103.0,9.8749847
44.24,-120.97,103.0,9.8749847
44.19,-121.05,207.0,9.8749847
45.08,-120.96,70.0,9.68153
44.49,-122.86,54.0,9.8749847
45.01,-122.66,40.0,9.831625
45.01,-122.66,40.0,9.831625
44.81,-120.73,61.0,9.8749847
44.43,-122.72,53.0,9.8749847
44.4,-122.65,50.0,9.8749847
44.33,-122.99,39.0,9.8749847
45.01,-123.51,30.0,9.831625
43.8,-123.88,25.0,9.5827484
44.58,-122.84,30.0,9.8749847
44.98,-122.65,41.0,9.831625
44.19,-123.83,29.0,9.8100004
44.71,-123.03,41.0,9.8749847
44.71,-123.03,41.0,9.8749847
43.67,-122.45,53.0,9.5827484
43.96,-122.84,45.0,9.5827484
45.03,-121.96,239.0,9.831625
44.78,-121.95,114.0,9.8749847
44.78,-121.95,135.0,9.8749847
44.78,-122.04,89.0,9.8749847
44.83,-121.88,50.0,9.8749847
45.02,-122.01,279.0,9.831625
45.0,-122.06,106.0,9.831625
44.2,-122.05,153.0,9.8749847
44.15,-122.08,111.0,9.8749847
44.72,-121.91,101.0,9.8749847
43.95,-122.03,41.0,9.5827484
43.72,-122.33,99.0,9.5827484
43.64,-122.19,102.0,9.5827484
44.07,-122.02,139.0,9.8749847
44.63,-121.94,105.0,9.8749847
44.02,-122.16,92.0,9.8749847
44.02,-122.16,92.0,9.8749847
44.45,-122.83,31.0,9.8749847
44.62,-122.72,35.0,9.8749847
44.62,-122.72,35.0,9.8749847
44.61,-121.11,69.0,9.8749847
44.16,-122.24,69.0,9.8749847
44.47,-122.91,39.0,9.8749847
45.05,-122.62,44.0,9.831625
45.05,-122.62,45.0,9.831625
44.44,-122.99,37.0,9.8749847
44.3,-122.12,110.0,9.8749847
46.85,-122.26,20.0,9.7773581
46.31,-119.76,53.0,9.5389538
46.31,-119.76,98.0,9.5389538
46.63,-123.23,41.0,9.7773581
46.52,-122.46,34.0,9.6252508
46.89,-120.39,45.0,9.7773581
46.61,-119.12,76.0,9.7773581
46.37,-119.29,54.0,9.543684
46.36,-119.27,63.0,9.543684
46.36,-119.27,66.0,9.543684
46.43,-119.28,59.0,9.543684
46.44,-119.4,65.0,9.543684
45.86,-120.67,48.0,9.5405912
47.07,-122.22,17.0,9.7773581
46.55,-122.31,26.0,9.6252508
46.78,-122.26,33.0,9.7773581
45.71,-121.46,56.0,9.5560369
45.71,-121.31,53.0,9.5560369
46.6,-120.35,76.0,9.7773581
46.52,-120.01,52.0,9.6252508
46.42,-120.12,69.0,9.543684
46.42,-120.12,78.0,9.543684
46.48,-120.26,51.0,9.6252508
48.43,-119.52,53.0,9.7773581
46.78,-120.67,58.0,9.7773581
46.55,-120.67,50.0,9.6252508
46.55,-120.67,94.0,9.6252508
46.53,-120.2,65.0,9.6252508
46.27,-119.45,293.0,9.5389538
45.73,-121.8,265.0,9.5560369
46.53,-120.33,66.0,9.6252508
46.14,-119.63,55.0,9.5399418
46.25,-119.4,68.0,9.546627
45.82,-121.13,51.0,9.544672
45.96,-119.88,77.0,9.5455904
47.71,-121.14,99.0,9.7773581
47.71,-121.14,114.0,9.7773581
47.43,-121.41,43.0,9.7773581
46.65,-121.28,107.0,9.7773581
45.81,-121.95,91.0,9.544672
46.67,-121.03,87.0,9.7773581
46.75,-120.64,46.0,9.7773581
47.01,-121.7,46.0,9.7773581
46.04,-119.64,38.0,9.5455904
46.04,-119.64,51.0,9.5455904
45.92,-120.19,43.0,9.5405912
45.92,-120.19,78.0,9.5405912
45.88,-122.45,41.0,9.5405912
45.84,-122.53,40.0,9.544672
45.94,-122.71,37.0,9.5405912
47.0,-119.53,79.0,9.7773581
45.99,-120.38,59.0,9.5455904
45.99,-120.38,65.0,9.5455904
45.99,-120.38,104.0,9.5455904
47.45,-120.36,46.0,9.7773581
46.46,-120.23,52.0,9.6252508
46.6,-120.38,41.0,9.7773581
45.83,-120.82,55.0,9.544672
45.83,-120.82,71.0,9.544672
45.76,-120.53,52.0,9.544672
46.54,-122.48,31.0,9.6252508
45.9,-122.66,41.0,9.5405912
45.61,-122.13,56.0,9.5370016
45.61,-122.13,72.0,9.5370016
45.88,-120.93,39.0,9.5405912
45.89,-122.5,51.0,9.5405912
45.7,-121.41,58.0,9.5560369
45.74,-121.18,53.0,9.5560369
45.7,-120.92,44.0,9.5560369
45.61,-122.18,37.0,9.5370016
45.61,-122.18,38.0,9.5370016
46.33,-120.78,73.0,9.5389538
46.53,-122.55,38.0,9.6252508
45.7,-121.24,41.0,9.5560369
47.11,-120.68,35.0,9.7773581
46.53,-122.56,30.0,9.6252508
46.28,-120.0,92.0,9.5389538
46.73,-120.76,35.0,9.7773581
45.7,-121.42,51.0,9.5560369
46.67,-120.6,57.0,9.7773581
45.88,-120.69,75.0,9.5405912
45.88,-120.69,76.0,9.5405912
46.68,-120.75,108.0,9.7773581
46.3,-122.87,22.0,9.5389538
46.57,-123.03,46.0,9.7773581
47.16,-119.32,59.0,9.7773581
47.16,-119.32,80.0,9.7773581
46.51,-122.49,45.0,9.6252508
45.71,-121.87,47.0,9.5560369
45.82,-120.82,30.0,9.544672
45.74,-121.12,61.0,9.5560369
45.73,-121.11,58.0,9.5560369
45.61,-122.13,66.0,9.5370016
45.61,-122.13,58.0,9.5370016
46.82,-120.66,33.0,9.7773581
46.55,-122.58,38.0,9.6252508
45.73,-122.41,43.0,9.5560369
45.94,-120.97,49.0,9.5405912
46.44,-120.2,65.0,9.543684
45.74,-120.23,85.0,9.5560369
48.69,-119.5,73.0,9.57864
45.6,-122.4,50.0,9.5370016
45.64,-122.44,49.0,9.5370016
46.55,-121.79,9.0,9.6252508
46.73,-121.85,43.0,9.7773581
45.64,-121.98,69.0,9.5370016
45.65,-121.95,189.0,9.5370016
45.65,-121.96,120.0,9.5370016
46.71,-121.58,73.0,9.7773581
46.62,-121.69,69.0,9.7773581
46.52,-121.94,72.0,9.6252508
46.27,-122.24,36.0,9.5389538
46.17,-122.27,44.0,9.546627
46.53,-122.84,36.0,9.6252508
46.54,-122.85,36.0,9.6252508
47.57,-120.16,24.0,9.7773581
46.62,-122.23,29.0,9.7773581
46.43,-120.18,43.0,9.543684
46.73,-120.78,52.0,9.7773581
45.71,-121.88,33.0,9.5560369
46.41,-120.08,63.0,9.543684
46.41,-120.08,67.0,9.543684
45.77,-122.2,56.0,9.544672
45.77,-122.2,68.0,9.544672
45.77,-122.19,65.0,9.544672
45.77,-122.22,64.0,9.544672
45.77,-122.2,46.0,9.544672
45.77,-122.2,69.0,9.544672
45.77,-122.2,68.0,9.544672
45.77,-122.2,43.0,9.544672
45.77,-122.2,81.0,9.544672
45.77,-122.2,64.0,9.544672
45.78,-122.2,42.0,9.544672
46.53,-122.82,37.0,9.6252508
46.54,-122.82,29.0,9.6252508
46.54,-122.82,31.0,9.6252508
46.53,-122.83,36.0,9.6252508
46.53,-122.83,39.0,9.6252508
46.54,-122.62,20.0,9.6252508
45.76,-121.54,27.0,9.544672
45.76,-121.54,34.0,9.544672
46.63,-120.41,52.0,9.7773581
45.71,-121.89,49.0,9.5560369
47.12,-120.68,40.0,9.7773581
45.91,-121.05,49.0,9.5405912
45.67,-122.38,36.0,9.5560369
45.77,-121.12,43.0,9.544672
46.62,-120.41,38.0,9.7773581
47.24,-120.01,41.0,9.7773581
47.24,-120.01,51.0,9.7773581
45.82,-122.46,60.0,9.544672
46.83,-120.21,61.0,9.7773581
46.83,-120.21,51.0,9.7773581
39.51,-119.75,89.1,16.215477
43.33,-119.57,276.1,9.4671307
43.31,-119.54,100.4,9.4671307
43.35,-119.67,338.9,9.4671307
43.49,-119.54,133.9,9.5357075
43.15,-119.72,92.0,9.2272873
43.11,-119.73,113.0,8.97577
40.42,-119.41,622.4,16.524179
40.42,-119.4,254.8,16.524179
40.37,-119.4,366.8,16.524179
40.36,-119.4,311.5,16.524179
40.36,-119.41,401.9,16.524179
40.35,-119.36,462.8,16.524179
40.35,-119.4,180.5,16.524179
40.4,-119.4,5832.0,16.524179
40.4,-119.4,1901.8,16.524179
40.4,-119.41,1575.0,16.524179
40.4,-119.4,262.1,16.524179
40.41,-119.4,5374.8,16.524179
39.86,-119.01,127.4,16.215477
44.79,-122.57,56.96,9.8749847
44.4,-122.51,49.96,9.8749847
44.75,-122.39,40.89,9.8749847
44.4,-122.49,43.96,9.8749847
44.12,-122.41,51.96,9.8749847
44.75,-122.62,50.02,9.8749847
44.59,-122.37,47.96,9.8749847
44.12,-122.45,43.96,9.8749847
44.11,-122.43,53.96,9.8749847
39.91,-119.22,380.4,16.215477
39.95,-119.2,58.2,16.215477
39.95,-119.0,81.9,16.215477
39.95,-119.02,122.9,16.215477
39.96,-119.1,191.1,16.215477
39.96,-119.07,254.8,16.215477
39.96,-119.06,116.5,16.215477
39.96,-119.04,218.4,16.215477
39.96,-119.25,327.6,16.215477
39.97,-119.01,196.6,16.215477
39.97,-119.05,318.5,16.215477
39.98,-119.02,262.1,16.215477
39.98,-119.02,262.1,16.215477
39.98,-119.11,122.9,16.215477
39.99,-119.03,294.8,16.215477
39.99,-119.05,318.5,16.215477
