lat,lon,age,q_ihfc,q_ps,q_stein,FA,ps_z,stein_z,z
48.18,-126.56,5.7203693,110.0,197.8101742,213.2348291,-45.47949982,3337.105274,3472.981214,-2434.0
48.17,-126.57,5.7203693,112.0,197.8101742,213.2348291,-45.47949982,3337.105274,3472.981214,-2449.0
48.17,-126.58,5.7203693,114.0,197.8101742,213.2348291,-45.47949982,3337.105274,3472.981214,-2465.0
48.17,-126.59,5.7203693,130.0,197.8101742,213.2348291,-45.47949982,3337.105274,3472.981214,-2477.0
48.42,-126.97,4.6329985,147.0,219.8009571,236.9403885,-46.6350174,3253.354044,3385.640646,-2581.0
48.43,-126.98,4.6329985,147.0,219.8009571,236.9403885,-47.87159729,3253.354044,3385.640646,-2582.0
48.44,-126.99,4.6329985,145.0,219.8009571,236.9403885,-47.87159729,3253.354044,3385.640646,-2581.0
48.44,-127.0,4.6329985,145.0,219.8009571,236.9403885,-51.45562744,3253.354044,3385.640646,-2580.0
48.45,-127.0,4.6428313,139.0,219.5680815,236.689354,-51.45562744,3254.153058,3386.473903,-2576.0
48.45,-127.01,4.6428313,117.0,219.5680815,236.689354,-51.45562744,3254.153058,3386.473903,-2575.0
48.36,-126.22,6.6210885,89.0,183.8636861,198.2008349,-8.39423275,3400.601655,3539.198869,-964.0
48.62,-126.95,4.8090472,102.0,215.7402309,232.5630189,-40.77328873,3267.533896,3400.428206,-2085.0
48.75,-126.69,5.9347811,81.0,194.2040607,209.3475215,-26.99560928,3352.649216,3489.191325,-1193.0
48.74,-126.71,5.9347811,75.0,194.2040607,209.3475215,-26.99560928,3352.649216,3489.191325,-1225.0
48.72,-126.74,5.9347811,82.0,194.2040607,209.3475215,-26.99560928,3352.649216,3489.191325,-1328.0
48.72,-126.76,5.752306,72.0,197.2602906,212.6420673,-33.3253479,3339.438792,3475.41474,-1334.0
48.22,-126.48,5.9770608,100.0,193.5159749,208.6057808,-40.74657059,3355.680985,3492.353027,-1927.0
48.19,-126.52,5.9770608,94.0,193.5159749,208.6057808,-35.12231064,3355.680985,3492.353027,-2346.0
48.41,-126.97,4.6329985,147.0,219.8009571,236.9403885,-46.6350174,3253.354044,3385.640646,-2582.0
48.42,-126.98,4.6329985,142.0,219.8009571,236.9403885,-46.6350174,3253.354044,3385.640646,-2583.0
48.43,-126.99,4.6329985,145.0,219.8009571,236.9403885,-47.87159729,3253.354044,3385.640646,-2582.0
48.33,-126.27,6.5365396,103.0,185.0489864,199.4785615,-8.39423275,3394.833002,3533.182988,-1191.0
48.33,-126.28,6.5365396,66.0,185.0489864,199.4785615,-8.39423275,3394.833002,3533.182988,-1207.0
48.32,-126.29,6.5365396,76.0,185.0489864,199.4785615,-8.39423275,3394.833002,3533.182988,-1298.0
48.32,-126.3,6.5365396,91.0,185.0489864,199.4785615,-18.40250206,3394.833002,3533.182988,-1318.0
48.31,-126.31,6.5365396,79.0,185.0489864,199.4785615,-18.40250206,3394.833002,3533.182988,-1368.0
48.29,-126.51,5.9780002,95.0,193.5007695,208.5893897,-40.74657059,3355.748225,3492.423149,-2023.0
48.28,-126.52,5.9780002,93.0,193.5007695,208.5893897,-40.74657059,3355.748225,3492.423149,-2065.0
48.27,-126.53,5.9780002,124.0,193.5007695,208.5893897,-44.26250076,3355.748225,3492.423149,-2148.0
48.27,-126.54,5.9780002,119.0,193.5007695,208.5893897,-44.26250076,3355.748225,3492.423149,-2131.0
48.27,-126.55,5.7164354,118.0,197.8782263,213.3081878,-44.26250076,3336.817385,3472.680988,-2110.0
48.26,-126.56,5.7164354,103.0,197.8782263,213.3081878,-44.26250076,3336.817385,3472.680988,-2053.0
