lat,lon,t,bath
42.22,-120.36,8.7200031,1640.0
42.19,-120.34,8.7200031,1576.0
42.19,-120.35,8.7200031,1576.0
42.18,-120.35,8.7200031,1575.0
42.18,-120.34,8.7200031,1575.0
42.22,-120.36,8.7200031,1640.0
42.21,-120.36,8.7200031,1599.0
44.27,-120.81,9.8749847,929.0
42.04,-120.3,18.00329,1481.0
42.21,-120.36,8.7200031,1599.0
42.24,-120.36,8.7200031,1734.0
42.23,-120.37,8.7200031,1691.0
42.02,-120.3,18.00329,1488.0
42.19,-120.38,8.7200031,1576.0
45.43,-121.46,9.5483627,1157.0
45.61,-122.0,9.5370016,159.0
45.34,-121.36,9.5414743,872.0
43.96,-123.11,9.5827484,358.0
45.12,-120.85,9.68153,600.0
44.6,-122.06,9.8749847,1242.0
44.6,-122.06,9.8749847,1242.0
45.44,-121.16,9.5483627,440.0
45.54,-122.58,9.5407829,66.0
45.66,-121.33,9.5560369,380.0
45.25,-121.12,9.5008411,334.0
42.41,-120.48,8.7200031,1333.0
45.69,-121.35,9.5560369,212.0
45.18,-121.07,9.5008411,370.0
45.84,-119.67,9.544672,370.0
45.32,-122.87,9.5414743,310.0
45.63,-121.36,9.5370016,419.0
44.78,-121.03,9.8749847,594.0
45.43,-120.93,9.5483627,708.0
42.06,-122.65,8.7200031,1284.0
45.9,-119.22,9.5405912,574.0
45.6,-121.14,9.5370016,38.0
45.36,-121.28,9.5483627,771.0
45.38,-122.59,9.5483627,19.0
45.6,-119.6,9.5370016,299.0
45.65,-121.47,9.5370016,619.0
45.7,-123.13,9.5560369,363.0
42.19,-122.64,8.7200031,594.0
45.7,-121.35,9.5560369,20.0
42.48,-123.4,8.1746902,351.0
45.61,-121.23,9.5370016,266.0
45.91,-119.44,9.5405912,624.0
45.18,-121.2,9.5008411,537.0
42.32,-122.81,8.7200031,485.0
45.6,-121.64,9.5370016,323.0
45.53,-122.43,9.5407829,56.0
42.53,-122.64,8.7200031,846.0
42.8,-123.85,8.0320463,791.0
45.38,-122.02,9.5483627,382.0
45.72,-119.02,9.5560369,488.0
45.68,-121.31,9.5560369,206.0
42.49,-122.95,8.7200031,395.0
42.5,-122.98,8.7200031,401.0
45.39,-122.36,9.5483627,163.0
42.86,-123.38,8.5052891,1066.0
44.87,-122.71,9.8163719,303.0
45.77,-119.12,9.544672,611.0
45.43,-121.29,9.5483627,690.0
45.54,-122.76,9.5407829,299.0
45.35,-121.13,9.5483627,764.0
45.35,-121.13,9.5483627,764.0
45.32,-121.1,9.5414743,814.0
45.69,-121.38,9.5560369,91.0
42.39,-122.98,8.7200031,451.0
45.36,-120.15,9.5483627,445.0
44.05,-122.88,9.8100004,202.0
43.8,-122.42,9.5827484,720.0
44.78,-121.98,9.8749847,707.0
44.78,-121.97,9.8749847,706.0
44.78,-121.97,9.8749847,706.0
